Situation,Mentor,Utterance/Prompt
_FEEDBACK_,leadership_twitty-shellaree_scpo,yes.
_FEEDBACK_,leadership_twitty-shellaree_scpo,"Yes, sir."
_FEEDBACK_,leadership_twitty-shellaree_scpo,"Yes, ma'am."
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,excuse me.
_PROMPT_,leadership_twitty-shellaree_scpo,How are you?
_PROMPT_,leadership_twitty-shellaree_scpo,Good morning.
_PROMPT_,leadership_twitty-shellaree_scpo,good afternoon.
_PROMPT_,leadership_twitty-shellaree_scpo,good evening.
_PROMPT_,leadership_twitty-shellaree_scpo,good night.
_REPEAT_,leadership_twitty-shellaree_scpo,I may have said this before.
_FEEDBACK_,leadership_twitty-shellaree_scpo,no.
_FEEDBACK_,leadership_twitty-shellaree_scpo,maybe.
_FEEDBACK_,leadership_twitty-shellaree_scpo,perhaps.
_FEEDBACK_,leadership_twitty-shellaree_scpo,of course.
_FEEDBACK_,leadership_twitty-shellaree_scpo,always.
_FEEDBACK_,leadership_twitty-shellaree_scpo,sometimes.
_FEEDBACK_,leadership_twitty-shellaree_scpo,never
_FEEDBACK_,leadership_twitty-shellaree_scpo,often.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I do.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I don't.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I have no idea.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I don't think so.
_PROMPT_,leadership_twitty-shellaree_scpo,here is something you should really know.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,"That's a good question, but I want to tell you something."
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't have enough information to talk about that.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't have an answer for that.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,"That is a great question. Unfortunately, I have not recorded the answer for that."
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,That is a great question. I wish I had thought of that.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,"That is a great question, but unfortunately, I don't have an answer right now."
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,"Unfortunately, I was never asked that question."
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,you may have to ask me something else.
_PROMPT_,leadership_twitty-shellaree_scpo,What do you want to talk about?
_PROMPT_,leadership_twitty-shellaree_scpo,What would you like to ask me?
_PROMPT_,leadership_twitty-shellaree_scpo,What do you want to know?
_PROMPT_,leadership_twitty-shellaree_scpo,What do you want to know about me?
_PROMPT_,leadership_twitty-shellaree_scpo,What do you want to know about leadership?
_PROMPT_,leadership_twitty-shellaree_scpo,you can ask me about your first month as a leader.
_PROMPT_,leadership_twitty-shellaree_scpo,you can ask me about my go to leadership strategy.
_PROMPT_,leadership_twitty-shellaree_scpo,you can ask me how to get your life set up after a big move.
_PROMPT_,leadership_twitty-shellaree_scpo,you can ask me about serious problems like sexual harassment or suicide.
_PROMPT_,leadership_twitty-shellaree_scpo,you could ask me about my job in the Navy.
_PROMPT_,leadership_twitty-shellaree_scpo,you can ask me about my background.
_PROMPT_,leadership_twitty-shellaree_scpo,Go ahead. Ask me about who gave me the best advice about my career.
_REPEAT_,leadership_twitty-shellaree_scpo,I might have covered this already.
_PROMPT_,leadership_twitty-shellaree_scpo,this change is pretty quickly. So what I tell you today may change tomorrow. I recommend that you speak to someone locally.
_PROMPT_,leadership_twitty-shellaree_scpo,"I've did a lot of professional training in the Navy, so you can ask me about the skills that I've learned."
_PROMPT_,leadership_twitty-shellaree_scpo,"I haven't always make perfect decisions, so you can ask me about the failures that I've had."
