ID,utterance,situation
s001p001s00000009e00015101,"I'm Lieutenant J. D. Thomas. I'm here at the Naval Postgraduate School pursuing a master's degree in financial management. Prior to coming to MPs, I was the A ops and the as well for a desert on staff in Mayport, Florida Prior to my second tour, I was four deployed on the USS Lassen and you Kuska Japan as the repair officer and the C E Devil. I was there for about 20 months, and my first tour probably was the most challenging tour today. There was a lot of ups and downs of my division. My division was composed of about 27 personnel. We had a couple of newly frakked first classes, so it was a lot of junior sailors. So we all had a huge learning curves like You get around together, of course, being in damage control and owning the all the fire equipment, the toilets, sinks and everything. You know, of course, things break and you know you're responsible for that kind of stuff. So it's nonstop 20 months tour, so I felt very challenging, but at same time is very rewarding. Prior to reaching the USS Lassen, I was enlisted for two years as a undesignated airman in a Halo squadron out in Jacksonville, Florida HSM 70 um prior to enlisting, served as a ah therapist in a rehab center in one of the local hospitals back where I'm from in Georgia. Oh, in which I had earned my bastards degree from Georgia Southern University.",_INTRO_
s001p002s00004501e00021500,,_IDLE_
s001p004s00002701e00005907,"Lieutenant Jeremy D. Thomas are. Everyone calls me J. D. I'm a lieutenant in the United States Navy. I'm here at the Naval Postgraduate School. I have a bachelor's degree from Georgia Southern University and Statesboro, Georgia. I'm from Georgia. Prior to arriving at Naval Postgraduate School, I was the anti submarine warfare officer on Dez Ron Staff and Mayport, Florida. And prior to that, I was the first tour division officer on the USS Lassen and you Cousteau, Japan.",_INTRO_
s001p007s00001203e00001316,yes.,_FEEDBACK_
s001p007s00001906e00002022,"Yes, sir.",_FEEDBACK_
s001p007s00002612e00002803,"Yes, ma'am.",_FEEDBACK_
s001p007s00003402e00003528,excuse me.,_OFF_TOPIC_
s001p007s00004119e00004310,How are you?,_PROMPT_
s001p007s00004819e00005001,Good morning.,_PROMPT_
s001p007s00005519e00005724,good afternoon.,_PROMPT_
s001p007s00010227e00010421,good evening.,_PROMPT_
s001p007s00011009e00011124,good night.,_PROMPT_
s001p007s00011900e00012128,I may have said this before.,_REPEAT_
s001p007s00012808e00012923,no.,_FEEDBACK_
s001p007s00013418e00013612,maybe.,_FEEDBACK_
s001p007s00014101e00014228,perhaps.,_FEEDBACK_
s001p007s00014720e00014922,of course.,_FEEDBACK_
s001p007s00015528e00015724,always.,_FEEDBACK_
