ID,utterance,situation
s001p001s00000450e00012347,"I am Navy Captain Dan Burns, graduates of the Naval Academy in 1984. I am a surface warfare officer Ship driver served on two ships out of the Pacific L P D and screw. It's out of hand. I went to the U S. Naval Postgraduate School in Monterey, and after that, served on my department tours Chief engineer on a fast forget out of Charleston and on the actual USS Ticonderoga out of Normal. Oh, deployed on both of those tours with the USS Teddy Roosevelt, Natalie's on both ships and then went ashore to the awesome military affairs at Central Intelligence Agency. While there, I screamed for XO of Aegis cruisers and command of a small ship. But frankly, at that point my second child had been born and I decided to resign my active duty commission and joined the reserves. I finished out my 30 year career in the reserves. I was recalled once during that time for a total of 18 years of active duty, 12 years and reserves, and I retired in July off 2014",_INTRO_
s001p002s00000450e00012347,"I am Navy Captain Dan Burns, graduates of the Naval Academy in 1984. I am a surface warfare officer Ship driver served on two ships out of the Pacific L P D and screw. It's out of hand. I went to the U S. Naval Postgraduate School in Monterey, and after that, served on my department tours Chief engineer on a fast forget out of Charleston and on the actual USS Ticonderoga out of Normal. Oh, deployed on both of those tours with the USS Teddy Roosevelt, Natalie's on both ships and then went ashore to the awesome military affairs at Central Intelligence Agency. While there, I screamed for XO of Aegis cruisers and command of a small ship. But frankly, at that point my second child had been born and I decided to resign my active duty commission and joined the reserves. I finished out my 30 year career in the reserves. I was recalled once during that time for a total of 18 years of active duty, 12 years and reserves, and I retired in July off 2014",_BIO_LONG_
s001p003s00001600e00014600,,_IDLE_
s001p007s00000927e00001167,no.,No.
s001p007s00001523e00001763,maybe.,Maybe.
s001p007s00002117e00002373,perhaps.,Perhaps.
s001p007s00002633e00002917,off course.,Of course.
s001p007s00003270e00003490,always.,Always.
s001p007s00003947e00004240,sometimes.,Sometimes.
s001p007s00004556e00004813,never,Never.
s001p007s00005160e00005466,often.,Often.
s001p007s00005720e00005956,I do.,I do.
s001p007s00010280e00010540,I don't.,I don't.
s001p007s00010933e00011240,I have no idea.,I have no idea.
s001p007s00011573e00011850,I don't think so.,I don't think so.
s001p007s00012373e00012837,there's something you should really know.,Here is something you should really know.
s001p007s00013666e00014090,"That's a good question, but I really wanted to tell you something.","That's a good question, but I really want to tell you something."
s001p012s00001200e00001450,Hello.,Hello.
s001p012s00002017e00002243,it's nice to meet you.,It is nice to meet you.
s001p012s00002893e00003360,I don't really have an opinion about that.,I don't really have an opinion about that.
s001p012s00004043e00004250,I hope so.,I hope so.
s001p012s00004950e00005140,"Oh, sorry.",I'm sorry.
s001p012s00005720e00005950,I'm sorry to hear that.,I'm sorry to hear that.
s001p012s00010813e00011237,I see you didn't ask anything there.,I see you didn't ask anything there.
s001p012s00015030e00015573,you've got to ask me something to get a response.,You've got to ask me something to get a response.
s001p012s00020133e00020280,Thank you.,Thank you
s001p012s00020833e00021133,I understand that.,I understand that.
s001p012s00021940e00022353,I would through something's similares.,I went through something similar
s001p012s00023080e00023433,I am not sure.,I am not sure.
s001p012s00024120e00024493,I can't hear you.,I can't hear you.
s001p012s00025227e00025580,I don't understand.,I don't understand
